customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code
2c3a02b9098fd98785f390c9cdf3fb58,7,1,6.00,1,1,1,111
1e2f93afcd80b9c58f52e25b1a03abb0,78,1,6.00,1,1,1,111
1a9725a6faddf68070a71a25bf695a39,78,1,6.00,1,1,1,111
2b1ea08d01fab9e50f2b989e2d910707,80,1,6.00,1,1,1,111
13071413b2d7b730db1cd98a4611f2b2,69,1,6.00,1,1,1,111
0d312c82ca29ab2d5d5e29f30f5168ee,69,1,6.00,1,1,1,111
c6f473df3a3442b2c28184fd9b91345e,69,1,6.00,1,1,1,111
3a7e31f18c7b6d5c707d68cc3acf4e6e,69,1,6.00,1,1,1,111
3be4334db5ff06c6940d580f36424fab,69,1,6.00,1,1,1,111
5c1f61144f3fbb984bcaa5081d4ed587,69,1,6.00,1,1,1,111
a99e3f897f5244cc9e9491a608daf32a,69,1,6.00,1,1,1,111
fe86ce129cfeddc53998ddc884d92a46,69,1,6.00,1,1,1,111
c06ae85c947a981b8d1af99b8e0d3f47,70,1,6.00,1,1,1,111
22eecffbc2e4e56747eb329d96051962,70,1,6.00,1,1,1,111
059063072de58e5a847e76c4593d5629,70,1,6.00,1,1,1,111
9c01b2b200a873ee3d7bf6f8e04a45bf,70,1,6.00,1,1,1,111
9e5dba14616edd353e3e344705daebbc,70,1,6.00,1,1,1,111
a941c257a51188577ec66ddbeee21403,70,1,6.00,1,1,1,111
977d8fa938090d14a398c9dc83bad338,70,1,6.00,1,1,1,111
5a3a12ce266dc037a4d6689a9d3af32a,71,1,6.00,1,1,1,111
5c350dd129b03161dfb674d4485f1bfb,71,1,6.00,1,1,1,111
f29f2553228477390f58da04a5c3cb8a,71,1,6.00,1,1,1,111
c332c15f8b177aeeb7b439f4879d50fb,71,1,6.00,1,1,1,111
c0cb8ce9015d957b7b1fb37f8c439e5c,71,1,6.00,1,1,1,111
d4d231d65ee84a50e0142df13dd920fb,71,1,6.00,1,1,1,111
9c6a2c33b3baba19503393dd4a47648f,71,1,6.00,1,1,1,111
a0cc96769a941738e86ac88a9b06edfd,71,1,6.00,1,1,1,111
b3c720e51f24e70b2d260f4cb108d20e,71,1,6.00,1,1,1,111
2c9844d357ffb675fe4c3d29473f2782,71,1,6.00,1,1,1,111
02e8a66528e84b3ca6150d9b1e03a26f,71,1,6.00,1,1,1,111
5e8daf8c56e7ea57b7b508ea39d345c6,72,1,6.00,1,1,1,111
a6d4a66c1e6a8aabd6002eddeca18c26,72,1,6.00,1,1,1,111
c9d749b8bec5051db8a1d50a7a9f261e,72,1,6.00,1,1,1,111
c318a0566b2a3b77d1f05bac5e8b4bea,72,1,6.00,1,1,1,111
df4a473fe7397ce0ee7d1eab32169540,72,1,6.00,1,1,1,111
fc0334b0e1e56824d1886ffc4b7d2f36,19,1,6.00,1,1,1,111
f8b34f85667240ee963019be835a54c3,19,1,6.00,1,1,1,111
eed7a47de7c4c7e68df016a38cf6aa53,19,1,6.00,1,1,1,111
9414b67cf7f338e04d81f867351fd11c,19,1,6.00,1,1,1,111
b0bd994fd9d1c590949928d2f319587f,19,1,6.00,1,1,1,111
c802e3b895363f40d8e59d220b03258c,19,1,6.00,1,1,1,111
bff2db7f78f28bc782a4eaf32b8d00e3,19,1,6.00,1,1,1,111
e1e9a1bcdba4b679475592e4418f1347,19,1,6.00,1,1,1,111
09f851560b90342e505b5a3404d5e239,19,1,6.00,1,1,1,111
1ecd872d7c87a92bccd42e450cc58031,19,1,6.00,1,1,1,111
7728b30e6e69efce169e6ab19f341c66,19,1,6.00,1,1,1,111
84e980ddc764302628d9be7734c5ced7,18,1,6.00,1,1,1,111
708b2e86a9b9d4c44e15c5313e142582,18,1,6.00,1,1,1,111
fc9fb824c68f21fd0871490ab14a52b6,18,1,6.00,1,1,1,111
e9e0edbf8aa28c72737fac59044014e3,18,1,6.00,1,1,1,111
072a543c663f0b54b41af8b074162d62,18,1,6.00,1,1,1,111
e3dc9a16e9ff319f01e8be00a9db6c38,73,1,6.00,1,1,1,111
3945fec78e20624b0ca8a69b3f64f436,73,1,6.00,1,1,1,111
b7df71fafa3490ff60491207136d9b79,12,1,6.00,1,1,1,111
001deb796b28a3a128d6113857569aa4,73,1,6.00,1,1,1,111
