customer_unique_id,first_purchase_date,last_purchase_date,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,segment_name
0000366f3b9a7992bf8c76cfdf3221e2,"2018-05-10 10:56:27","2018-05-10 10:56:27",116,1,8.00,2,4,1,241,"Potential Loyalists"
0000b849f77a49e4a4ce2b2a4ca5be3f,"2018-05-07 11:11:27","2018-05-07 11:11:27",119,1,1.00,2,4,4,244,"Potential Loyalists"
0000f46a3911fa3c0805444483337064,"2017-03-10 21:05:03","2017-03-10 21:05:03",542,1,8.00,5,2,1,521,"At-Risk Customers"
0000f6ccb0745a6a4b88665a16c9f078,"2017-10-12 20:29:41","2017-10-12 20:29:41",326,1,4.00,4,3,2,432,Other
0004aac84e0df4da2b147fca70cf8255,"2017-11-14 19:45:42","2017-11-14 19:45:42",293,1,6.00,4,5,1,451,Other
0004bd2a26a76fe21f786e4fbd80607f,"2018-04-05 19:33:16","2018-04-05 19:33:16",151,1,8.00,2,4,1,241,"Potential Loyalists"
00050ab1314c0e55a6ca13cf7181fecf,"2018-04-20 12:57:23","2018-04-20 12:57:23",136,1,1.00,2,4,4,244,"Potential Loyalists"
00053a61a98854899e70ed204dd4bafe,"2018-02-28 11:15:41","2018-02-28 11:15:41",187,1,3.00,3,3,2,332,"Potential Loyalists"
0005e1862207bf6ccc02e4228effd9a0,"2017-03-04 23:32:12","2017-03-04 23:32:12",548,1,3.00,5,2,2,522,"At-Risk Customers"
0005ef4cd20d2893f0d9fbd94d3c0d97,"2018-03-12 15:22:12","2018-03-12 15:22:12",175,1,4.00,2,3,2,232,"Potential Loyalists"
0006fdc98a402fceb4eb0ee528f6a8d4,"2017-07-18 09:23:10","2017-07-18 09:23:10",412,1,2.00,5,3,3,533,Other
00082cbe03e478190aadbea78542e933,"2017-11-19 15:22:02","2017-11-19 15:22:02",288,1,1.00,4,5,4,454,Other
00090324bbad0e9342388303bb71ba0a,"2018-03-24 14:44:41","2018-03-24 14:44:41",163,1,3.00,2,3,2,232,"Potential Loyalists"
000949456b182f53c18b68d6babc79c1,"2018-04-23 09:55:46","2018-04-23 09:55:46",133,1,1.00,2,5,4,254,"Potential Loyalists"
000a5ad9c4601d2bbdd9ed765d5213b3,"2017-08-11 13:45:15","2017-08-11 13:45:15",388,1,3.00,5,3,2,532,Other
000bfa1d2f1a41876493be685390d6d3,"2017-09-29 14:46:58","2017-09-29 14:46:58",339,1,4.00,4,4,2,442,Other
000c8bdb58a29e7115cfc257230fb21b,"2017-12-12 22:53:35","2017-12-12 22:53:35",265,1,2.00,3,5,3,353,"Potential Loyalists"
000d460961d6dbfa3ec6c9f5805769e1,"2018-01-07 22:59:25","2018-01-07 22:59:25",239,1,1.00,3,5,4,354,"Potential Loyalists"
000de6019bb59f34c099a907c151d855,"2017-08-17 19:10:33","2017-08-17 19:10:33",382,1,4.00,4,3,2,432,Other
000e309254ab1fc5ba99dd469d36bdb4,"2018-06-25 09:53:57","2018-06-25 09:53:57",70,1,2.00,1,1,3,113,"Loyal Customers"
000ec5bff359e1c0ad76a81a45cb598f,"2018-08-21 11:34:26","2018-08-21 11:34:26",13,1,1.00,1,1,4,114,"Loyal Customers"
000ed48ceeb6f4bf8ad021a10a3c7b43,"2018-05-20 16:26:06","2018-05-20 16:26:06",106,1,1.00,2,5,4,254,"Potential Loyalists"
000fbf0473c10fc1ab6f8d2d286ce20c,"2018-07-26 09:43:52","2018-07-26 09:43:52",39,1,1.00,1,1,5,115,"Loyal Customers"
0010a452c6d13139e50b57f19f52e04e,"2017-07-11 11:22:43","2017-07-11 11:22:43",419,1,10.00,5,3,1,531,Other
0010fb34b966d44409382af9e8fd5b77,"2018-03-05 17:08:53","2018-03-05 17:08:53",182,1,6.00,2,3,1,231,"Potential Loyalists"
001147e649a7b1afd577e873841632dd,"2017-08-31 17:12:56","2017-08-31 17:12:56",368,1,1.00,4,4,5,445,Other
00115fc7123b5310cf6d3a3aa932699e,"2017-01-21 21:58:35","2017-01-21 21:58:35",590,1,1.00,5,2,5,525,"At-Risk Customers"
0011805441c0d1b68b48002f1d005526,"2017-04-24 13:36:48","2017-04-24 13:36:48",497,1,10.00,5,2,1,521,"At-Risk Customers"
0011857aff0e5871ce5eb429f21cdaf5,"2017-06-28 11:08:38","2017-06-28 11:08:38",432,1,3.00,5,2,2,522,"At-Risk Customers"
0011c98589159d6149979563c504cb21,"2017-08-05 14:08:47","2017-08-05 14:08:47",394,1,5.00,5,4,2,542,"Lost Customers"
0012929d977a8d7280bb277c1e5f589d,"2017-10-17 15:46:36","2017-10-17 15:46:36",321,1,1.00,4,3,3,433,Other
0014a5a58da615f7b01a4f5e194bf5ea,"2018-01-18 20:49:36","2018-01-18 20:49:36",228,1,3.00,3,5,2,352,"Potential Loyalists"
0015752e079902b12cd00b9b7596276b,"2018-08-02 18:23:51","2018-08-02 18:23:51",32,1,3.00,1,1,3,113,"Loyal Customers"
00172711b30d52eea8b313a7f2cced02,"2018-07-28 00:23:49","2018-07-28 00:23:49",37,1,2.00,1,1,3,113,"Loyal Customers"
00191a9719ef48ebb5860b130347bf33,"2017-04-19 11:32:09","2017-04-19 11:32:09",502,1,2.00,5,2,3,523,"At-Risk Customers"
001926cef41060fae572e2e7b30bd2a4,"2017-08-17 12:55:47","2017-08-17 12:55:47",382,1,1.00,4,3,5,435,Other
001928b561575b2821c92254a2327d06,"2018-08-24 21:17:00","2018-08-24 21:17:00",10,1,6.00,1,1,1,111,Champions
00196c4c9a3af7dd2ad10eade69c926f,"2018-07-28 09:29:12","2018-07-28 09:29:12",37,1,1.00,1,1,5,115,"Loyal Customers"
00196fdb2bf9edfc35e88ebfbcf8d781,"2018-02-22 19:06:44","2018-02-22 19:06:44",193,1,1.00,3,2,5,325,Other
0019da6aa6bcb27cc32f1249bd12da05,"2018-02-11 00:55:30","2018-02-11 00:55:30",204,1,1.00,3,3,3,333,"Potential Loyalists"
0019e8c501c85848ac0966d45226fa1d,"2018-05-01 09:25:32","2018-05-01 09:25:32",125,1,2.00,2,4,3,243,"Potential Loyalists"
001a2bf0e46c684031af91fb2bce149d,"2017-06-29 22:43:49","2017-06-29 22:43:49",431,1,1.00,5,2,4,524,"At-Risk Customers"
001a34eb30ecb8e3aacb07c475ca4dd1,"2018-07-11 19:49:54","2018-07-11 19:49:54",54,1,1.00,1,1,5,115,"Loyal Customers"
001a3a8e11d76c9a366c31a4aa2cc529,"2018-05-21 01:24:25","2018-05-21 01:24:25",105,1,1.00,2,5,4,254,"Potential Loyalists"
001ae44fa04911a9e9577356dce6c63c,"2017-11-06 17:35:49","2017-11-06 17:35:49",301,1,1.00,4,5,4,454,Other
001ae5a1788703d64536c30362503e49,"2017-12-08 11:32:44","2017-12-08 11:32:44",269,1,1.00,3,5,4,354,"Potential Loyalists"
001deb796b28a3a128d6113857569aa4,"2018-06-22 16:07:29","2018-06-22 16:07:29",73,1,6.00,1,1,1,111,Champions
001f3c4211216384d5fe59b041ce1461,"2017-03-19 18:34:36","2017-03-19 18:34:36",533,1,3.00,5,2,2,522,"At-Risk Customers"
002043098f10ba39a4600b6c52fbfe3c,"2017-03-26 16:45:59","2017-03-26 16:45:59",526,1,4.00,5,2,2,522,"At-Risk Customers"
002311514717ca8b65b09a26cdf7b91a,"2018-06-27 11:34:34","2018-06-27 11:34:34",68,1,2.00,1,1,3,113,"Loyal Customers"
0023557a94bef0038066b5d1b3dc763e,"2018-03-28 19:53:14","2018-03-28 19:53:14",159,1,2.00,2,2,3,223,"Loyal Customers"
002471155ecd08d208d1376720e2a907,"2018-08-08 20:36:30","2018-08-08 20:36:30",26,1,3.00,1,1,2,112,"Loyal Customers"
00256bf7b05c08f6a5849df3d0a64f1f,"2018-06-01 17:41:18","2018-06-01 17:41:18",94,1,1.00,1,4,4,144,"New Customers"
0025795df7a7d077c4c90162fa820085,"2018-07-24 11:09:11","2018-07-24 11:09:11",41,1,3.00,1,1,2,112,"Loyal Customers"
0027324a96d26a2bc7d69262f83c8403,"2018-03-25 11:51:37","2018-03-25 11:51:37",162,1,2.00,2,3,3,233,"Potential Loyalists"
0028a7d8db7b0247652509358ad8d755,"2017-12-13 15:49:39","2017-12-13 15:49:39",264,1,2.00,3,5,3,353,"Potential Loyalists"
0028cfeb9dfcd3628a56d5b6400deef5,"2018-01-07 00:12:45","2018-01-07 00:12:45",239,1,1.00,3,5,4,354,"Potential Loyalists"
00293787e2aec37a9c253b63fdfe2049,"2017-10-27 14:25:35","2017-10-27 14:25:35",311,1,1.00,4,3,5,435,Other
0029bd580d3012618731f5abb174a07f,"2017-11-02 13:24:21","2017-11-02 13:24:21",305,1,1.00,4,3,5,435,Other
002aba8c1af80acacef6e011f9f23262,"2018-02-27 12:47:48","2018-02-27 12:47:48",188,1,3.00,3,2,2,322,Other
002ae492472e45ad6ebeb7a625409392,"2017-10-08 23:56:02","2017-10-08 23:56:02",330,1,4.00,4,3,2,432,Other
002b4cd83fabaffaa475f78ea5ef3e08,"2017-02-01 13:53:16","2017-02-01 13:53:16",579,1,1.00,5,2,5,525,"At-Risk Customers"
002bdeb33da5b1b3ce8b9c822f749c82,"2017-12-05 19:04:42","2017-12-05 19:04:42",272,1,1.00,3,5,4,354,"Potential Loyalists"
002cdf87d4c03f08f7eb4551a923affc,"2017-10-31 17:32:22","2017-10-31 17:32:22",307,1,10.00,4,3,1,431,Other
002d3bd901608f67c3fc11eaaa842b13,"2018-01-15 18:39:36","2018-01-15 18:39:36",231,1,1.00,3,5,4,354,"Potential Loyalists"
002d71b244beb91ca7030b15ab526446,"2017-05-22 22:24:51","2017-05-22 22:24:51",469,1,1.00,5,2,4,524,"At-Risk Customers"
002da6dde369f6a8b4c999ed61eb5a87,"2018-04-12 11:03:44","2018-04-12 11:03:44",144,1,1.00,2,4,4,244,"Potential Loyalists"
002eb8b96288f3804e21d2777ac29895,"2017-07-22 13:24:06","2017-07-22 13:24:06",408,1,6.00,5,3,1,531,Other
002ed12115742033f015cb3c269ccf68,"2018-01-30 13:50:27","2018-01-30 13:50:27",216,1,3.00,3,2,2,322,Other
